Nodo,DistGrado,CoefAgrup,CentCercania,CentCarga,ExcentCarga,PageR
0,4,0.3333333333333333,0.475,0.06591942820012994,3,0.04956387095151027
1,5,0.4,0.4634146341463415,0.07318063677712801,4,0.0609985884478752
2,4,0.0,0.48717948717948717,0.06890838206627678,3,0.049478993722269965
3,4,0.16666666666666666,0.4418604651162791,0.07516244314489928,4,0.05148676359313395
4,5,0.2,0.5135135135135135,0.12236842105263156,3,0.06022913167609995
5,4,0.16666666666666666,0.475,0.07794834307992202,4,0.04955735418556192
6,4,0.3333333333333333,0.475,0.04473684210526315,3,0.04916481594084831
7,5,0.2,0.5,0.09004629629629629,3,0.06034843359222404
8,3,0.0,0.41304347826086957,0.017543859649122803,4,0.03921857840816093
9,5,0.1,0.4634146341463415,0.08260233918128654,4,0.06025394031588932
10,4,0.16666666666666666,0.475,0.05903996101364522,3,0.05002784592876083
11,4,0.0,0.475,0.047770467836257303,3,0.04965007261216927
12,4,0.0,0.475,0.0580653021442495,3,0.05005896354563876
13,4,0.16666666666666666,0.4523809523809524,0.07266894087069525,3,0.05110792611374542
14,3,0.3333333333333333,0.4318181818181818,0.03637914230019493,4,0.0392186864996963
15,5,0.1,0.5588235294117647,0.14635315139701105,3,0.0604691421586407
16,4,0.16666666666666666,0.48717948717948717,0.08550194931773877,3,0.050300023486270204
17,2,0.0,0.37254901960784315,0.009088693957115009,4,0.02930062246512532
18,4,0.3333333333333333,0.4418604651162791,0.059113060428849895,3,0.050686686981387875
19,3,0.6666666666666666,0.41304347826086957,0.005847953216374268,4,0.03887955937499144
