Grafo,Fuente,Sumidero,Mediatime,Medianatime,Stdtime,Flujomaximo,DistGrado,CoefAgrup,CentCercania,CentCarga,ExcentCarga,PageR
grafo1,2,11,0.044009399,0.031262636,0.021735301,49,5,0.2,0.487179487,0.132919103,3,0.060195216
grafo1,2,12,0.032803321,0.031221032,0.020309606,18,5,0.2,0.487179487,0.132919103,3,0.060195216
grafo1,2,13,0.042177701,0.031257272,0.018548822,33,5,0.2,0.487179487,0.132919103,3,0.060195216
grafo1,2,14,0.042179084,0.031256676,0.01854628,42,5,0.2,0.487179487,0.132919103,3,0.060195216
grafo1,2,15,0.055067778,0.04686749,0.022203441,46,5,0.2,0.487179487,0.132919103,3,0.060195216
grafo1,2,16,0.040615892,0.031243563,0.018748186,34,5,0.2,0.487179487,0.132919103,3,0.060195216
grafo1,2,17,0.052010465,0.046863437,0.018088575,42,5,0.2,0.487179487,0.132919103,3,0.060195216
grafo1,2,18,0.046864247,0.046866775,0.017106719,46,5,0.2,0.487179487,0.132919103,3,0.060195216
grafo1,2,19,0.045298576,0.031246543,0.021481879,45,5,0.2,0.487179487,0.132919103,3,0.060195216
grafo1,3,0,0.033504009,0.031229615,0.020964705,33,4,0.333333333,0.441860465,0.060550682,4,0.049679565
grafo1,3,1,0.035928202,0.031240582,0.022150008,44,4,0.333333333,0.441860465,0.060550682,4,0.049679565
grafo1,3,2,0.04217422,0.031241179,0.022142612,49,4,0.333333333,0.441860465,0.060550682,4,0.049679565
grafo1,3,4,0.043411827,0.031268835,0.018177152,49,4,0.333333333,0.441860465,0.060550682,4,0.049679565
grafo1,3,5,0.047433543,0.046850681,0.016940417,49,4,0.333333333,0.441860465,0.060550682,4,0.049679565
grafo1,3,6,0.049991632,0.046862721,0.022948992,48,4,0.333333333,0.441860465,0.060550682,4,0.049679565
grafo1,3,7,0.044336963,0.031247497,0.022856068,49,4,0.333333333,0.441860465,0.060550682,4,0.049679565
grafo1,3,8,0.056235385,0.046882629,0.018750481,42,4,0.333333333,0.441860465,0.060550682,4,0.049679565
grafo1,3,9,0.046864557,0.046845317,0.017124663,44,4,0.333333333,0.441860465,0.060550682,4,0.049679565
grafo1,3,10,0.05311234,0.04686451,0.021182576,49,4,0.333333333,0.441860465,0.060550682,4,0.049679565
grafo1,3,11,0.048679423,0.04686439,0.01678406,49,4,0.333333333,0.441860465,0.060550682,4,0.049679565
grafo1,3,12,0.033467245,0.025523305,0.023839263,18,4,0.333333333,0.441860465,0.060550682,4,0.049679565
grafo1,3,13,0.043739009,0.031261206,0.018215226,33,4,0.333333333,0.441860465,0.060550682,4,0.049679565
grafo1,3,14,0.04686389,0.046853185,0.01711298,42,4,0.333333333,0.441860465,0.060550682,4,0.049679565
grafo1,3,15,0.062678885,0.062462807,0.017479429,46,4,0.333333333,0.441860465,0.060550682,4,0.049679565
