Nodo,DistGrado,CoefAgrup,CentCercania,CentCarga,ExcentCarga,PageR
0,3,0.6666666666666666,0.4222222222222222,0.022660818713450288,4,0.039456179697812455
1,5,0.3,0.4634146341463415,0.08979044834307989,4,0.062044183262500864
2,3,0.6666666666666666,0.3584905660377358,0.007309941520467836,5,0.040029248614983665
3,7,0.09523809523809523,0.5757575757575758,0.2794428200129954,3,0.08290322987044667
4,3,0.0,0.4418604651162791,0.034072449642625076,3,0.039364026959011866
5,4,0.16666666666666666,0.4318181818181818,0.07638888888888888,4,0.05083594640531112
6,3,0.0,0.40425531914893614,0.01835607537361923,4,0.039774705425508976
7,6,0.13333333333333333,0.5588235294117647,0.19184535412605588,3,0.07092536929696452
8,5,0.2,0.5135135135135135,0.09385152696556205,3,0.059981911163088146
9,2,0.0,0.41304347826086957,0.019452566601689404,4,0.028527766879922867
10,5,0.3,0.5277777777777778,0.1368583495776478,3,0.05905468697180445
11,3,0.3333333333333333,0.41304347826086957,0.015675763482781022,4,0.03901347759272992
12,3,0.3333333333333333,0.4318181818181818,0.01669103313840156,3,0.03882376950906906
13,4,0.16666666666666666,0.475,0.06469298245614036,3,0.04853184672514817
14,4,0.16666666666666666,0.4318181818181818,0.08447043534762831,4,0.05157877797181459
15,6,0.2,0.5135135135135135,0.1393356075373619,3,0.07053962612858675
16,3,0.6666666666666666,0.3584905660377358,0.004629629629629629,5,0.03964208654579992
17,4,0.5,0.4222222222222222,0.027777777777777776,4,0.05023761871496223
18,4,0.5,0.4318181818181818,0.04426575698505523,4,0.04943959172688955
19,3,0.3333333333333333,0.41304347826086957,0.030092592592592584,4,0.039295950537643974
