Fuente,Sumidero,Mediatime,Medianatime,Stdtime,Flujomaximo,DistGrado,CoefAgrup,CentCercania,CentCarga,ExcentCarga,PageR
0,1,0.03748822212219238,0.03124392032623291,0.007654640096505693,50,7,0.3333333333333333,0.6129032258064516,0.04310834957764781,2,0.0562711987403759
0,2,0.05155029296875,0.0468595027923584,0.022155054265129433,62,7,0.3333333333333333,0.6129032258064516,0.04310834957764781,2,0.0562711987403759
0,3,0.054197835922241214,0.04687798023223877,0.021116542610663196,65,7,0.3333333333333333,0.6129032258064516,0.04310834957764781,2,0.0562711987403759
0,4,0.052616310119628903,0.046845197677612305,0.021665125462203946,72,7,0.3333333333333333,0.6129032258064516,0.04310834957764781,2,0.0562711987403759
0,5,0.05155031681060791,0.04686391353607178,0.0185585396850729,70,7,0.3333333333333333,0.6129032258064516,0.04310834957764781,2,0.0562711987403759
0,6,0.05779907703399658,0.04686546325683594,0.01855272659855098,69,7,0.3333333333333333,0.6129032258064516,0.04310834957764781,2,0.0562711987403759
0,7,0.059602785110473636,0.04807722568511963,0.018061256881724157,72,7,0.3333333333333333,0.6129032258064516,0.04310834957764781,2,0.0562711987403759
0,8,0.051549220085144044,0.046860575675964355,0.02214029745251706,60,7,0.3333333333333333,0.6129032258064516,0.04310834957764781,2,0.0562711987403759
0,9,0.0577965259552002,0.046864986419677734,0.018547486362961982,72,7,0.3333333333333333,0.6129032258064516,0.04310834957764781,2,0.0562711987403759
0,10,0.04842905998229981,0.046858787536621094,0.020311449404754715,59,7,0.3333333333333333,0.6129032258064516,0.04310834957764781,2,0.0562711987403759
0,11,0.061093378067016604,0.04772591590881348,0.018948028665403044,72,7,0.3333333333333333,0.6129032258064516,0.04310834957764781,2,0.0562711987403759
0,12,0.054956698417663576,0.04687809944152832,0.019755092048130026,61,7,0.3333333333333333,0.6129032258064516,0.04310834957764781,2,0.0562711987403759
0,13,0.05310971736907959,0.046862006187438965,0.021177819247908902,72,7,0.3333333333333333,0.6129032258064516,0.04310834957764781,2,0.0562711987403759
0,14,0.051550555229187014,0.04683852195739746,0.022138233101801547,59,7,0.3333333333333333,0.6129032258064516,0.04310834957764781,2,0.0562711987403759
0,15,0.04686393737792969,0.04684555530548096,0.017116534452285774,48,7,0.3333333333333333,0.6129032258064516,0.04310834957764781,2,0.0562711987403759
0,16,0.057375860214233396,0.0468825101852417,0.015624688574923879,72,7,0.3333333333333333,0.6129032258064516,0.04310834957764781,2,0.0562711987403759
0,17,0.03905355930328369,0.031243443489074707,0.01601760726502233,33,7,0.3333333333333333,0.6129032258064516,0.04310834957764781,2,0.0562711987403759
0,18,0.04530174732208252,0.031258344650268555,0.021477586294015333,51,7,0.3333333333333333,0.6129032258064516,0.04310834957764781,2,0.0562711987403759
0,19,0.056237006187438966,0.046895742416381836,0.017400907832168733,63,7,0.3333333333333333,0.6129032258064516,0.04310834957764781,2,0.0562711987403759
1,0,0.043738484382629395,0.03126668930053711,0.018214383444398078,50,5,0.5,0.5135135135135135,0.01590086326928432,3,0.04230576194849961
1,2,0.05181784629821777,0.046867966651916504,0.021918089595569186,50,5,0.5,0.5135135135135135,0.01590086326928432,3,0.04230576194849961
1,3,0.04850125312805176,0.039415955543518066,0.023478329233286,50,5,0.5,0.5135135135135135,0.01590086326928432,3,0.04230576194849961
1,4,0.04998548030853271,0.04687690734863281,0.015299079453832215,50,5,0.5,0.5135135135135135,0.01590086326928432,3,0.04230576194849961
1,5,0.045607137680053714,0.04057896137237549,0.01752595704440682,50,5,0.5,0.5135135135135135,0.01590086326928432,3,0.04230576194849961
1,6,0.051550436019897464,0.046851277351379395,0.022146950886198755,50,5,0.5,0.5135135135135135,0.01590086326928432,3,0.04230576194849961
1,7,0.057799124717712404,0.046865224838256836,0.022147418295941967,50,5,0.5,0.5135135135135135,0.01590086326928432,3,0.04230576194849961
1,8,0.056236767768859865,0.04686474800109863,0.02440092497502261,50,5,0.5,0.5135135135135135,0.01590086326928432,3,0.04230576194849961
1,9,0.05591850280761719,0.04686474800109863,0.016146093468096555,50,5,0.5,0.5135135135135135,0.01590086326928432,3,0.04230576194849961
1,10,0.05623669624328613,0.04686534404754639,0.020008202927475405,50,5,0.5,0.5135135135135135,0.01590086326928432,3,0.04230576194849961
1,11,0.049985194206237794,0.046866774559020996,0.015302102478656638,50,5,0.5,0.5135135135135135,0.01590086326928432,3,0.04230576194849961
1,12,0.05038914680480957,0.046866416931152344,0.01948768995507644,50,5,0.5,0.5135135135135135,0.01590086326928432,3,0.04230576194849961
1,13,0.04530487060546875,0.03124415874481201,0.021484560558660073,50,5,0.5,0.5135135135135135,0.01590086326928432,3,0.04230576194849961
1,14,0.05154731273651123,0.046863675117492676,0.018543347480444134,50,5,0.5,0.5135135135135135,0.01590086326928432,3,0.04230576194849961
1,15,0.05467455387115479,0.046877264976501465,0.017472445240376618,48,5,0.5,0.5135135135135135,0.01590086326928432,3,0.04230576194849961
1,16,0.049988389015197754,0.04684722423553467,0.022957366673642843,50,5,0.5,0.5135135135135135,0.01590086326928432,3,0.04230576194849961
1,17,0.04842617511749268,0.04684948921203613,0.02031899468067165,33,5,0.5,0.5135135135135135,0.01590086326928432,3,0.04230576194849961
