group1,group2,meandiff,lower,upper,reject
boykov_kolmogorov,edmonds_karp,-0.0621,-0.1304,0.0061,False
boykov_kolmogorov,maximum_flow,-0.0699,-0.1381,-0.0016,True
edmonds_karp,maximum_flow,-0.0077,-0.0759,0.0605,False
