group1,group2,meandiff,lower,upper,reject
0.06779661016949153,0.07142857142857142,0.0352,0.0051,0.0652,True
0.06779661016949153,0.07474844274077623,1.1372,1.1072,1.1673,True
0.06779661016949153,0.07481296758104738,0.2439,0.2138,0.2739,True
0.06779661016949153,0.07676969092721835,0.0048,-0.0925,0.1021,False
0.06779661016949153,0.07705455063381285,0.0038,-0.0666,0.0742,False
0.06779661016949153,0.07819398946019085,0.0037,-0.0667,0.0741,False
0.06779661016949153,0.0783364193134881,0.0052,-0.0921,0.1024,False
0.06779661016949153,0.0786212790200826,0.0018,-0.0954,0.0991,False
0.06779661016949153,0.07904856857997436,0.0036,-0.0937,0.1009,False
0.06779661016949153,0.07990314769975787,0.0016,-0.0957,0.0988,False
0.06779661016949153,0.08047286711294688,0.006,-0.0913,0.1032,False
0.06779661016949153,0.08153658639095532,0.0508,-0.0464,0.1481,False
0.06779661016949153,0.08159963014331946,0.0527,-0.0445,0.15,False
0.06779661016949153,0.0818728197368974,0.0537,-0.0435,0.151,False
0.06779661016949153,0.08214600933047535,0.0535,-0.0438,0.1507,False
0.06779661016949153,0.08225108225108226,0.049,-0.0482,0.1463,False
0.06779661016949153,0.08227209683520363,0.0424,-0.0549,0.1397,False
0.06779661016949153,0.08233514058756777,0.0461,-0.0511,0.1434,False
0.06779661016949153,0.08250325726053881,0.0481,-0.0492,0.1453,False
0.06779661016949153,0.08269238851763124,0.0397,-0.0576,0.1369,False
0.06779661016949153,0.0829445635270878,0.0502,-0.0471,0.1475,False
0.06779661016949153,0.08556442020726515,0.3068,0.2095,0.404,True
0.06779661016949153,0.08574143719157896,0.3982,0.3009,0.4955,True
0.06779661016949153,0.08579112616963196,0.3949,0.2976,0.4921,True
0.06779661016949153,0.0858594620594191,1.1879,1.0906,1.2851,True
0.06779661016949153,0.08586910026858476,1.5395,1.4423,1.6368,True
0.06779661016949153,0.08590076867012908,1.4037,1.3064,1.5009,True
0.06779661016949153,0.08590292637025121,0.2817,0.1844,0.379,True
0.06779661016949153,0.08593151914699095,1.346,1.2488,1.4433,True
0.06779661016949153,0.0859365677327444,1.1718,1.0745,1.2691,True
0.06779661016949153,0.08593932150679172,1.4009,1.3037,1.4982,True
0.06779661016949153,0.08599118425134981,1.5162,1.419,1.6135,True
0.06779661016949153,0.08599898661115059,1.2061,1.1089,1.3034,True
0.06779661016949153,0.08602881916333001,1.5066,1.4093,1.6039,True
0.06779661016949153,0.08607425643511099,1.354,1.2567,1.4512,True
0.06779661016949153,0.08608926003794996,0.3103,0.213,0.4075,True
0.06779661016949153,0.08610789340471983,0.321,0.2237,0.4182,True
0.06779661016949153,0.08614205457713127,0.3943,0.297,0.4915,True
0.06779661016949153,0.0861482656993879,0.3307,0.2335,0.428,True
0.06779661016949153,0.08617932131067102,0.3396,0.2424,0.4369,True
0.06779661016949153,0.08622590472759571,0.4032,0.306,0.5005,True
0.07142857142857142,0.07474844274077623,1.1021,1.0721,1.1321,True
0.07142857142857142,0.07481296758104738,0.2087,0.1787,0.2387,True
0.07142857142857142,0.07676969092721835,-0.0304,-0.1276,0.0669,False
0.07142857142857142,0.07705455063381285,-0.0314,-0.1017,0.039,False
0.07142857142857142,0.07819398946019085,-0.0315,-0.1019,0.0389,False
0.07142857142857142,0.0783364193134881,-0.03,-0.1272,0.0673,False
0.07142857142857142,0.0786212790200826,-0.0333,-0.1306,0.0639,False
0.07142857142857142,0.07904856857997436,-0.0315,-0.1288,0.0657,False
