Datos del Grafo 4: Fuentes y sumideros que maximizan el flujo,,,,,,,,,,,
Fuente,Sumidero,Mediatime,Medianatime,Stdtime,Flujomaximo,DistGrado,CoefAgrup,CentCercania,CentCarga,ExcentCarga,PageR
12,19,0.049984813,0.046863437,0.022952408,63,5,0.3,0.558823529,0.012186717,3,0.041565164
19,12,0.049988461,0.046841383,0.022958569,63,7,0.333333333,0.59375,0.037873619,3,0.056657309
1,13,0.046864057,0.046863437,0.017112521,62,7,0.333333333,0.612903226,0.051051239,2,0.05674686
3,13,0.065831327,0.062484741,0.020116573,62,6,0.333333333,0.575757576,0.040768588,3,0.050727961
7,13,0.054608345,0.046864033,0.022435757,62,8,0.107142857,0.633333333,0.106767497,2,0.065498419
8,13,0.056236911,0.04686451,0.023388761,62,9,0.277777778,0.633333333,0.089376218,3,0.07098757
9,13,0.061187792,0.046864748,0.021509916,62,8,0.25,0.612903226,0.064920403,3,0.063495925
10,13,0.04998827,0.046864152,0.019511293,62,7,0.333333333,0.612903226,0.057329667,2,0.056391904
11,13,0.048426223,0.046863556,0.020318157,62,9,0.25,0.655172414,0.105303769,2,0.07173098
12,13,0.050920439,0.046863794,0.01716132,62,5,0.3,0.558823529,0.012186717,3,0.041565164
13,1,0.059184957,0.046879888,0.022151446,62,6,0.2,0.558823529,0.032569851,3,0.049523885
13,3,0.067598915,0.062468648,0.02211091,62,6,0.2,0.558823529,0.032569851,3,0.049523885
13,7,0.053112674,0.046864033,0.021189821,62,6,0.2,0.558823529,0.032569851,3,0.049523885
13,8,0.053356981,0.046865702,0.01928467,62,6,0.2,0.558823529,0.032569851,3,0.049523885
13,9,0.053116202,0.046863914,0.021195685,62,6,0.2,0.558823529,0.032569851,3,0.049523885
13,10,0.052492666,0.04684639,0.021447348,62,6,0.2,0.558823529,0.032569851,3,0.049523885
13,11,0.048426223,0.046863675,0.020307554,62,6,0.2,0.558823529,0.032569851,3,0.049523885
13,12,0.051806998,0.046863079,0.022113284,62,6,0.2,0.558823529,0.032569851,3,0.049523885
13,19,0.049988127,0.046863198,0.019511801,62,6,0.2,0.558823529,0.032569851,3,0.049523885
19,13,0.049988317,0.04685986,0.02295135,62,7,0.333333333,0.59375,0.037873619,3,0.056657309
1,15,0.050026512,0.046847463,0.019834119,60,7,0.333333333,0.612903226,0.051051239,2,0.05674686
3,15,0.053249812,0.046864152,0.017350696,60,6,0.333333333,0.575757576,0.040768588,3,0.050727961
7,15,0.053112531,0.046864033,0.01739544,60,8,0.107142857,0.633333333,0.106767497,2,0.065498419
8,15,0.046864057,0.046863079,0.017112434,60,9,0.277777778,0.633333333,0.089376218,3,0.07098757
9,15,0.056111717,0.046863079,0.01944054,60,8,0.25,0.612903226,0.064920403,3,0.063495925
10,15,0.054674554,0.046863794,0.020070793,60,7,0.333333333,0.612903226,0.057329667,2,0.056391904
11,15,0.057798934,0.046863794,0.022155413,60,9,0.25,0.655172414,0.105303769,2,0.07173098
12,15,0.056236839,0.046864152,0.018745553,60,5,0.3,0.558823529,0.012186717,3,0.041565164
13,15,0.096852064,0.093727827,0.030291217,60,6,0.2,0.558823529,0.032569851,3,0.049523885
15,1,0.050622678,0.046864033,0.019197038,60,6,0.4,0.575757576,0.036358257,3,0.049898575
15,3,0.06404748,0.046864033,0.025621062,60,6,0.4,0.575757576,0.036358257,3,0.049898575
15,7,0.054674697,0.046864271,0.020065841,60,6,0.4,0.575757576,0.036358257,3,0.049898575
15,8,0.045841169,0.031243086,0.024404099,60,6,0.4,0.575757576,0.036358257,3,0.049898575
15,9,0.054674554,0.046863914,0.020065915,60,6,0.4,0.575757576,0.036358257,3,0.049898575
15,10,0.055620122,0.046864152,0.022012341,60,6,0.4,0.575757576,0.036358257,3,0.049898575
15,11,0.076544547,0.054690957,0.039178203,60,6,0.4,0.575757576,0.036358257,3,0.049898575
