Nodo,DistGrado,CoefAgrup,CentCercania,CentCarga,ExcentCarga,PageR
0,3,0.6666666666666666,0.3958333333333333,0.009624756335282649,4,0.03879149210409271
1,4,0.5,0.4523809523809524,0.034478557504873296,3,0.04942069731757182
2,5,0.2,0.48717948717948717,0.13291910331384016,3,0.06019521622823401
3,4,0.3333333333333333,0.4418604651162791,0.06055068226120856,4,0.04967956528027535
4,5,0.2,0.5,0.1304824561403509,3,0.05964685184992233
5,5,0.1,0.5,0.15363060428849898,3,0.06203828830003751
6,4,0.5,0.4523809523809524,0.024975633528265106,3,0.048591382796899396
7,5,0.3,0.5,0.08479532163742688,3,0.05906046553458326
8,4,0.16666666666666666,0.4523809523809524,0.10038986354775828,4,0.05046054624666344
9,4,0.5,0.4634146341463415,0.030945419103313835,3,0.048772920979336755
10,5,0.2,0.5135135135135135,0.1626461988304094,3,0.06094300979220163
11,4,0.3333333333333333,0.4523809523809524,0.04653996101364522,4,0.04880293704586902
12,2,0.0,0.3877551020408163,0.021320662768031188,4,0.02982361424512915
13,3,0.3333333333333333,0.41304347826086957,0.03667153996101365,4,0.0415635537868618
14,4,0.16666666666666666,0.475,0.10282651072124756,3,0.04996564854930751
15,4,0.3333333333333333,0.4318181818181818,0.07821637426900584,4,0.051899848973913386
16,3,0.6666666666666666,0.40425531914893614,0.0146807992202729,4,0.040140642469288806
17,4,0.3333333333333333,0.4318181818181818,0.05305799220272904,4,0.051242201079096654
18,4,0.3333333333333333,0.4318181818181818,0.043128654970760225,4,0.04968237827822868
19,4,0.5,0.4523809523809524,0.040692007797270946,3,0.04927873914248681
